timestamp,http_method,endpoint,query_params_count,user_agent,authorization_present,ip_hash,content_length_bytes,num_fields,avg_field_length,failed_auth_attempts_last_10min,suspicious_patterns_detected,statusCode,duration_ms,responseSize,label_attack
2025-08-20T19:04:13.795Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,4,"authorization_header_present,suspicious_quotes_or_escape",429,6.2,62,1
2025-08-20T19:04:13.810Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,403,10.68,44,1
2025-08-20T19:04:13.827Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,201,128.26,245,1
2025-08-20T19:04:13.964Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",500,25.13,46,1
2025-08-20T19:04:14.001Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,1,"authorization_header_present,suspicious_quotes_or_escape",200,25.19,14360,0
2025-08-20T19:04:14.040Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,4,suspicious_quotes_or_escape,429,38.9,62,1
2025-08-20T19:04:14.094Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,4,suspicious_quotes_or_escape,429,3.99,62,1
2025-08-20T19:04:14.110Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,5,suspicious_quotes_or_escape,429,11.21,62,1
2025-08-20T19:04:14.126Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,5,suspicious_quotes_or_escape,429,7.87,62,1
2025-08-20T19:04:14.149Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,6,suspicious_quotes_or_escape,429,13.28,62,1
2025-08-20T19:04:14.176Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,6,suspicious_quotes_or_escape,429,16.92,62,1
2025-08-20T19:04:14.207Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,7,suspicious_quotes_or_escape,429,10.66,62,1
2025-08-20T19:04:14.231Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,7,suspicious_quotes_or_escape,429,8.54,62,1
2025-08-20T19:04:14.249Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,8,suspicious_quotes_or_escape,429,14.25,62,1
2025-08-20T19:04:14.276Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,8,suspicious_quotes_or_escape,429,31.18,62,1
2025-08-20T19:04:14.329Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,403,21.41,44,1
2025-08-20T19:04:14.362Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,201,129.1,245,1
2025-08-20T19:04:14.499Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,2,"authorization_header_present,suspicious_quotes_or_escape",500,26.52,46,1
2025-08-20T19:04:14.534Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,2,"authorization_header_present,suspicious_quotes_or_escape",200,16.42,14360,0
2025-08-20T19:04:14.575Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,403,20.05,44,1
2025-08-20T19:04:14.606Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,201,131.32,245,1
2025-08-20T19:04:14.743Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,3,"authorization_header_present,suspicious_quotes_or_escape",500,20.83,46,1
2025-08-20T19:04:14.775Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,3,"authorization_header_present,suspicious_quotes_or_escape",200,23.65,14360,0
2025-08-20T19:04:14.876Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,403,34.35,44,1
2025-08-20T19:04:14.921Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,201,152.92,245,1
